TICKER,CNAME,PERMNO,IssuerNm,SCORE
0000,TALMER BANCORP,14471,TALMER BANCORP INC,0
0001,EP ENGR CORP,14392,E P ENERGY CORP,0
0004,AMERICAN CAPITAL,14418,AMERICAN CAPITAL SR FLOATING LTD,0
000R,CARECOM,14378,CARE COM INC,0
000V,EIGER,14423,EIGER BIOPHARMACEUTICALS INC,0
000Y,ULTRAGENYX,14436,ULTRAGENYX PHARMACEUTICALS INC,0
000Z,BIOCEPT,14449,BIOCEPT INC,0
0011,CHC GRP,14416,C H C GROUP LTD,1
0017,AUSPEX PHARMA,14448,AUSPEX PHARMACEUTICALS INC,0
0018,EGALET,14455,EGALET CORP,0
001A,CARISMA,14452,CARISMA THERAPEUTICS INC,0
001C,ARGOS,14447,ARGOS THERAPEUTICS INC,0
001J,KNOWLES,14487,KNOWLES CORP,0
001K,IBP,14479,INSTALLED BUILDING PRODUCTS INC,1
001L,CONCERT PHARMA,14451,CONCERT PHARMACEUTICALS INC,0
001M,INOGEN,14459,INOGEN INC,0
001N,QUOTIENT TECH,14504,QUOTIENT TECHNOLOGY INC,0
001R,CSR PLC,12962,C S R PLC,0
001X,SOCIETAL CDMO,14550,RECRO PHARMA INC,1
001Z,KING DIGITAL,14524,KING DIGITAL ENTERTAINMENT PLC,0
002G,CASTLIGHT HEALTH,14502,CASTLIGHT HEALTH INC,0
002J,PAYLOCITY HLDG,14547,PAYLOCITY HOLDING CORP,0
002L,AMBER ROAD,14499,AMBER ROAD INC,0
002P,A10 NETWORKS,14495,A10 NETWORKS INC,0
002S,MOELIS,14574,MOELIS & CO,0
002T,OUTFRONT MEDIA,14503,OUTFRONT MEDIA INC,0
002U,WEIBO,14616,WEIBO CORP,0
002Y,NORD ANGLIA,14527,NORD ANGLIA EDUCATION INC,0
0031,CORIUM INTL,14594,CORIUM INTERNATIONAL INC,0
0033,OPOWER,14578,OPOWER INC,0
0039,LA QUINTA,14573,LA QUINTA HOLDINGS INC,0
003A,ADAMAS PHARMA,14589,ADAMAS PHARMACEUTICALS INC,0
003D,BLUEROCK,14500,BLUEROCK RESIDENTIAL GR REIT INC,0
003E,FARMLAND PRTNRS,14566,FARMLAND PARTNERS INC,0
003F,TRIVASCULAR TECH,14612,TRIVASCULAR TECHNOLOGIES INC,0
003G,IMMUNIC,14615,IMMUNIC INC,0
003H,PAYCOM SOFTWARE,14579,PAYCOM SOFTWARE INC,0
003J,CITY OFFICE REIT,14559,CITY OFFICE REIT INC,0
003K,PHIBRO ANIML,14603,PHIBRO ANIMAL HEALTH CORP,0
0040,LOMBARD MEDICAL,14595,LOMBARD MEDICAL INC,0
0041,SABRE,14608,SABRE CORP,0
0042,DORIAN LPG,14642,DORIAN L P G LTD,0
0044,SUNEDISON SEMI,14669,SUNEDISON SEMICONDUCTOR LTD,0
0045,PARSLEY EGY,14634,PARSLEY ENERGY INC,0
004F,ARES MANAGEMENT,14617,ARES MANAGEMENT CORP,0
004M,CHEETAH MOBILE,14618,CHEETAH MOBILE INC,0
004V,TUNIU,14676,TUNIU CORP,0
004W,ARISTA NETWORKS,14714,ARISTA NETWORKS INC,0
0051,ZENDESK,14641,ZENDESK INC,0
0055,TRUECAR,14677,TRUECAR INC,0
005H,HERITAGE INSUR,14625,HERITAGE INSURANCE HOLDINGS INC,0
005I,AGILE,14645,AGILE THERAPEUTICS INC,0
006J,MOBILEIRON,14697,MOBILEIRON INC,0
006K,ATLANTICA,14687,ATLANTICA YIELD PLC,0
006M,ASPEN AEROGELS,14715,ASPEN AEROGELS INC,0
006Q,HERMITAGE,14756,HERMITAGE OFFSHORE SERVICES LTD,0
006V,PARNELL PHARMA,14706,PARNELL PHARMACEUTICALS HLDG LTD,0
006W,CENTURY,14716,CENTURY COMMUNITIES INC,0
006X,GOPRO,14694,GOPRO INC,0
0070,RADIUS HEALTH,14707,RADIUS HEALTH INC,0
0073,TCP,14754,T C P INTERNATIONAL HOLDINGS LTD,1
0074,ADEPTUS HEALTH,14713,ADEPTUS HEALTH INC,0
0075,AMPHASTAR PHARMS,14688,AMPHASTAR PHARMACEUTICALS INC,0
0076,MATERIALISE,14705,MATERIALISE NV,0
0077,XUNLEI,14710,XUNLEI LTD,0
0079,XPLR INFRA,14734,NEXTERA ENERGY PARTNERS LP,1
007W,PME,12961,PINGTAN MARINE ENTERPRISE LTD,1
007X,TERMINIX GLOBAL,14750,TERMINIX GLOBAL HOLDINGS INC,0
0080,PARAGN OFFSHR,14784,PARAGON OFFSHORE PLC,0
008A,SAGE,14828,SAGE THERAPEUTICS INC,0
008C,MOBILEYE,14856,MOBILEYE N V,0
008I,AKARI,14424,AKARI THERAPEUTICS PLC,0
008J,TSQUARE MEDIA,14778,TOWNSQUARE MEDIA INC,0
008U,ORIO,14786,ORION ENGINEERED CARBONS SA,0
008Y,BURCON NUTRASCIE,13038,BURCON NUTRASCIENCE CORP,0
0090,FCB FINCL HLDG,14851,F C B FINANCIAL HOLDINGS INC,1
0097,GREEN BANCORP,14870,GREEN BANCORP INC,0
0098,ADV DRAINAGE,14759,ADVANCED DRAINAGE SYSTEMS INC,1
009H,C1 FINANCIAL,14849,C 1 FINANCIAL INC,0
009J,OTONOMY,14874,OTONOMY INC,0
00A5,AEMETIS,14689,AEMETIS INC,0
00AI,ENERGOUS,14556,ENERGOUS CORP,0
00AO,WAYFAIR,14983,WAYFAIR INC,0
00AP,RSTRNT BRND,15113,RESTAURANT BRANDS INTL INC,4
00AW,VIRIDIAN,14708,VIRIDIAN THERAPEUTICS INC,0
00B1,ELEDON PHARMS,14937,ELEDON PHARMACEUTICALS INC,0
00BG,CYBERARK SOFTWR,14928,CYBERARK SOFTWARE LTD,0
00BV,AAC HOLDG,14945,A A C HOLDINGS INC,0
00BW,CALITHERA,14995,CALITHERA BIOSCIENCES INC,0
00BX,FAIRMOUNT,14961,FAIRMOUNT SANTROL HOLDINGS INC,0
00BY,DERMIRA,15003,DERMIRA INC,0
00C5,SMART & FINAL US,14915,SMART & FINAL STORES INC,0
00C6,KEYSIGHT TECH,14939,KEYSIGHT TECHNOLOGIES INC,0
00C9,DAVE,15014,DAVE & BUSTERS ENTERTAINMENT INC,1
00CB,DOMINION MSTREAM,14956,DOMINION MIDSTREAM PARTNERS LP,0
00CC,KIMBALL ELEC,14942,KIMBALL ELECTRONICS INC,0
00CL,COHERUS,15059,COHERUS BIOSCIENCES INC,0
00D3,ENOVA INTL,14960,ENOVA INTERNATIONAL INC,0
00D4,NEW SENIOR INV,14974,NEW SENIOR INVESTMENT GROUP INC,0
00DA,FIFTH STREET AST,15008,FIFTH STREET ASSET MANAGEMENT,0
00DB,BOOT BARN HLDG,14953,BOOT BARN HOLDINGS INC,0
00DD,STATE NATIONAL,15083,STATE NATIONAL COMPANIES INC,0
00DJ,CALIFORNIA RSRCS,15029,CALIFORNIA RESOURCES CORP,0
00DJ,CALIFORNIA RSRCS,20188,CALIFORNIA RESOURCES CORP,0
00DL,ANTERO MID PTNRS,15031,ANTERO MIDSTREAM PARTNERS LP,1
00DV,LANDMARK INFRA,15140,LANDMARK INFRA PARTNERS LP,0
00DX,ANCHOR BANCORP,14990,ANCHOR BANCORP WISCONSIN INC NEW,0
00DZ,PIMCO DYNAMIC CR,13746,PIMCO DYNAMIC CR & MORT INC FD,0
00E0,NAVIOS MIDSTREAM,15055,NAVIOS MARITIME MIDSTR PTNRS LP,1
00EB,STORE CAPITAL,15052,STORE CAPITAL CORP,0
00EC,DIGILITI MONEY,16629,DIGILITI MONEY GROUP INC,0
00EG,LENDINGCLUB,15092,LENDINGCLUB CORP,0
00EI,CNOVA,15060,CNOVA N V,0
00EX,ASHFORD,15028,ASHFORD INC,0
00EY,JUNO,15134,JUNO THERAPEUTICS INC,0
00FF,JAMES RIVER,15133,JAMES RIVER GROUP HLDS LTD,0
00FR,RICE MIDSTRM,15116,RICE MIDSTREAM PARTNERS LP,0
00GC,MPG,15105,METALDYNE PERFORMANCE GROUP INC,1
00GG,JASON INDUSTRIES,14173,JASON INDUSTRIES INC,0
00HK,COUNTY BANCORP,15180,COUNTY BANCORP INC,0
00HM,PATRIOT NATL,15164,PATRIOT NATIONAL INC,0
00I0,BOX,15145,BOX INC,0
00I2,CMB.TECH,15169,EURONAV N V,1
00I7,PRESBIA,15181,PRESBIA PLC,0
00I9,ASCENDIS PHARMA,15171,ASCENDIS PHARMA A S,0
00IE,INOVALON HLDG,15220,INOVALON HOLDINGS INC,0
00II,ASTERIAS,14950,ASTERIAS BIOTHERAPEUTICS INC,0
00JA,RITHM PRPTY TR,15196,GREAT AJAX CORP,1
00JB,NV5 GLOBAL,14166,N V 5 HOLDINGS INC,1
00JC,ROCKET,15221,ROCKET PHARMACEUTICALS INC,0
00JH,XPLORE TECH CORP,13658,XPLORE TECHNOLOGIES CORP,0
00JU,SUMMIT,15274,SUMMIT THERAPEUTICS PLC,0
00JU,SUMMIT,19849,SUMMIT THERAPEUTICS INC,0
00KV,SUMMIT MAT,15264,SUMMIT MATERIALS INC,0
00L4,NATIONAL COMRC,15270,NATIONAL COMMERCE CORP,0
00LB,FFN,15242,FRANKLIN FINANCIAL NETWORK INC,1
00LU,CHECK CAP,15268,CHECK CAP LTD,0
00LV,KENON HOLDINGS,15170,KENON HOLDINGS LTD,0
00MH,PARAMOUNT GOLD,15278,PARAMOUNT GOLD NEVADA CORP,0
00MJ,ATLAS ENERGY GRP,15188,ATLAS ENERGY GROUP LLC,0
00NO,BLACK KNIGHT,15339,BLACK KNIGHT FINANCIAL SRVCS INC,0
00NO,BLACK KNGT,16917,BLACK KNIGHT INC,0
00O7,COLUCID PHARMS,15370,COLUCID PHARMACEUTICALS INC,0
00O8,ATYR PHARMA,15378,ATYR PHARMA INC,0
00O9,COLLEGIUM PHARM,15371,COLLEGIUM PHARMACEUTICAL INC,0
00OE,TTI,15137,TRILLIUM THERAPEUTICS INC,4
00OG,DEL TACO,14433,DEL TACO RESTAURANTS INC,0
00ON,FIRSTSERVICE,15336,FIRSTSERVICE CORP NEW,0
00PK,FITBIT,15390,FITBIT INC,0
00PM,VISTAGEN,16070,VISTAGEN THERAPEUTICS INC,0
00PP,CORINDUS,15344,CORINDUS VASCULAR ROBOTICS INC,0
00Q6,CHEMOURS,15398,CHEMOURS CO,0
00Q7,BABCOCK & WILCOX,15396,BABCOCK & WILCOX ENTERPRISES INC,0
00QF,ENDOCHOICE,15451,ENDOCHOICE HOLDINGS INC,0
00QG,SHOPIFY,15358,SHOPIFY INC,0
00QU,GANNETT CO,15391,GANNETT CO INC NEW,0
00QV,TOPBUILD,15397,TOPBUILD CORP,0
00QZ,ENERGIZER HLDGS,15400,ENERGIZER HOLDINGS INC NEW,0
00R2,HORIZON GLOBAL,15399,HORIZON GLOBAL CORP,0
00R6,WINGSTOP,15440,WINGSTOP INC,0
00RA,STAFFING 360,15662,STAFFING 360 SOLUTIONS INC,0
00RC,ZAIS GROUP HLDG,13827,ZAIS GROUP HOLDINGS INC,0
00RJ,ALPINE IMMUNE,15432,ALPINE IMMUNE SCIENCES INC,0
00RK,CONCORDIA HLTHCR,15418,CONCORDIA HEALTHCARE CORP,0
00RL,MINDBODY,15430,MINDBODY INC,0
00RO,CENTER COAST,14128,CENTER COAST BRF MLP & EN INF FD,0
00RU,VIVANI MEDICAL,15062,VIVANI MEDICAL INC,0
00RX,ASTRIA,15416,ASTRIA THERAPEUTICS INC,0
00RZ,ALARM.COM HLDG,15409,ALARM COM HOLDINGS INC,0
00S8,UNIQUE,15590,UNIQUE FABRICATING INC,0
00S9,TRANSUNION,15478,TRANSUNION,0
00SG,NOBILIS HEALTH,15324,NOBILIS HEALTH CORP,0
00SZ,MILACRON HLDG,15466,MILACRON HOLDINGS CORP,0
00T2,RAPID7,15541,RAPID7 INC,0
00TA,TECOGEN,14675,TECOGEN INC,0
00TC,NEOS,15531,NEOS THERAPEUTICS INC,0
00TI,IMMUNITYBIO,15533,IMMUNITYBIO INC,0
00TR,TERRA GLOB,15523,TERRAFORM GLOBAL INC,1
00TU,AIMMUNE,15630,AIMMUNE THERAPEUTICS INC,0
00TY,FIRST CMNTY FINL,15514,FIRST COMMUNITY FINL PTNRS INC,0
00U5,INTEC PHARMA,15642,INTEC PHARMA LTD,0
00UB,HOULIHAN LOKEY,15623,HOULIHAN LOKEY INC,0
00UC,GBT,15638,GLOBAL BLOOD THERAPEUTICS INC,1
00UX,SPX FLOW,15647,S P X FLOW INC,0
00V4,NII HOLDINGS,15532,N I I HOLDINGS INC,0
00V5,PERF FOOD GROUP,15724,PERFORMANCE FOOD GROUP CO,1
00VC,PENUMBRA,15694,PENUMBRA INC,0
00VL,TIER REIT,15586,TIER REIT INC,0
00VP,FIRST DATA,15703,FIRST DATA CORP NEW,0
00VQ,FERRARI,15735,FERRARI N V NEW,0
00VV,ALBERTSONS,19413,ALBERTSONS COMPANIES INC,0
00VY,ALLEGIANCE,15774,ALLEGIANCE BANCSHARES INC,0
00VZ,ACLARIS,15775,ACLARIS THERAPEUTICS INC,0
00W1,CPI CARD GROUP,15793,C P I CARD GROUP INC,0
00W3,NSTAR REALTY,15708,NORTHSTAR REALTY EUROPE CORP,0
00WB,ENERFLEX US,15710,EXTERRAN CORP,1
00WF,AMERICAN,15711,AMERICAN FARMLAND CO,0
00WW,LINDBLAD,14045,LINDBLAD EXPEDITIONS HLDS INC,0
00WY,MATCH GRP,15850,MATCH GROUP INC NEW,0
00XB,INSTRUCTURE,15824,INSTRUCTURE INC,0
00XO,XTERA COMMNS,15858,XTERA COMMUNICATIONS INC,0
00XR,AXSOME,15831,AXSOME THERAPEUTICS INC,0
00YE,AVANGRID,15859,AVANGRID INC,0
00YO,JUPAI HLDGS,15577,JUPAI HOLDINGS LTD,0
00YT,ATLASSIAN US,15909,ATLASSIAN CORP PLC,0
00Z6,NICOLET BANK,15948,NICOLET BANKSHARES INC,0
010U,WELBILT,15921,WELBILT INC,0
010V,KINETA,15950,KINETA INC,0
011Y,CORVUS PHARMS,15960,CORVUS PHARMACEUTICALS INC,0
0124,SERITAGE GROWTH,15584,SERITAGE GROWTH PROPERTIES,0
012B,RMR GROUP,15853,R M R GROUP INC,0
012D,BATS GLOBAL,17402,BATS GLOBAL MARKETS INC,0
012R,AMERICAN RENL,16024,AMERICAN RENAL ASSOCIATES,0
0133,RED ROCK RESORTS,16019,RED ROCK RESORTS INC,0
013E,SITEONE,16082,SITEONE LANDSCAPE SUPPLY INC,0
013S,FIRST NORTHWEST,15178,FIRST NORTHWEST BANCORP,0
013T,MIDLND ST BNCRP,16063,MIDLAND STATES BANCORP INC,1
013U,GRUPO SUPERVIELL,16077,GRUPO SUPERVIELLE SA,0
013Z,COTIVITI,16073,COTIVITI HOLDINGS INC,0
014G,NANTHEALTH,16100,NANTHEALTH INC,0
014N,HERC HOLDINGS,91575,HERC HOLDINGS INC,0
0153,51TALK ONLINE,16120,51TALK ONLINE EDUCATION GROUP,0
015B,PARAGON COMME,16106,PARAGON COMMERCIAL CORP,0
015F,AMAYA,15411,AMAYA INC,0
015G,TWILIO,16140,TWILIO INC,0
016T,CARDCONNECT,15292,CARDCONNECT CORP,0
016U,IMPINJ,16182,IMPINJ INC,0
016W,AUDENTES,16162,AUDENTES THERAPEUTICS INC,0
017N,AT HOME GROUP,16268,AT HOME GROUP INC,0
017Q,METAVIA,16255,NEUROBO PHARMACEUTICALS INC,1
017Z,PROTAGONIST,16263,PROTAGONIST THERAPEUTICS INC,0
0180,MEDPACE HOLDINGS,16260,MEDPACE HOLDINGS INC,0
0186,VALERITAS HLDG,16647,VALERITAS HOLDINGS INC,0
018W,CAPSTAR FINCL,16285,CAPSTAR FINANCIAL HOLDINGS INC,0
019B,NUTANIX,16304,NUTANIX INC,0
019G,NVN LIQUIDATION,16303,NOVAN INC,1
019I,ELF BEAUTY,16318,E L F BEAUTY INC,0
019L,APPTIO,16282,APPTIO INC,0
019M,FB FINANCIAL,16319,F B FINANCIAL CORP,0
019Y,MEDEQUITIES RLTY,16332,MEDEQUITIES REALTY TRUST INC,0
01A0,BUTTERFIELD,16339,BANK OF NT BUTTERFIELD & SON LTD,1
01A6,DONNELLEY FINCL,16277,DONNELLEY FINANCIAL SOL INC,0
01A9,COUPA,16382,COUPA SOFTWARE INC,0
01AB,ADIENT,16342,ADIENT PLC,0
01AC,ACUSHNET HLDG,16434,ACUSHNET HOLDINGS CORP,0
01AF,ALCOA CORP,16347,ALCOA CORP,0
01AR,CHIPMOS,16348,CHIPMOS TECHNOLOGIES INC,0
01BH,GDS HOLDINGS,16461,G D S HOLDINGS LTD,0
01BP,SMART SAND,16471,SMART SAND INC,0
01CQ,SUNSHINE BANCORP,14829,SUNSHINE BANCORP INC,0
01D7,MOLECULIN,16099,MOLECULIN BIOTECH INC,0
01DR,ATHENE HLDG,16496,ATHENE HOLDING LTD,0
01E5,ALPHA METALLURG,18224,ALPHA METALLURGICAL RES INC,0
01EC,TIGENIX,16534,TIGENIX,0
01EE,INTL SEAWAYS,16454,INTERNATIONAL SEAWAYS INC,1
01FC,JAGGED PEAK,16553,JAGGED PEAK ENERGY INC,0
01FE,NEXTIER OILFIELD,16557,NEXTIER OILFIELD SOLUTIONS INC,0
01FQ,SNAP,16595,SNAP INC,0
01G1,RAMACO RESOURCES,16592,RAMACO RESOURCES INC,0
01GF,C&J ENERGY,16602,C & J ENERGY SERVICES INC,0
01GW,PLAYA HOTEL,16641,PLAYA HOTELS & RESORTS N V,0
01H2,FORTIS,16341,FORTIS INC,0
01HJ,ARDAGH GROUP,16624,ARDAGH GROUP S A,0
01HP,PROPETRO,16617,PROPETRO HOLDING CORP,0
01HR,BEYONDSPRING,16626,BEYONDSPRING INC,0
01IF,WARRIOR MET COAL,16653,WARRIOR MET COAL INC,0
01IN,PCSB FINANCIAL,16676,PCSB FINANCIAL CORP,0
01J8,NETSHOES,16669,NETSHOES CAYMAN LTD,0
01JE,CADENCE,16654,CADENCE BANCORP,0
01KJ,CLOUDERA,16657,CLOUDERA INC,0
01KN,ZYMEWORKS,16668,ZYMEWORKS INC DE,0
01KO,ANTERO MIDSTREM,16738,ANTERO MIDSTREAM CORP,0
01LF,CANADA GOOSE,16603,CANADA GOOSE HOLDINGS INC,0
01LJ,SOLARIS US,16750,SOLARIS OILFIELD INFRSTR INC,0
01LL,VERITONE,16712,VERITONE INC,0
01LR,ARGENX,16699,ARGENX SE,0
01LS,ASV HOLDINGS,16700,A S V HOLDINGS INC,0
01LW,CARS.COM,16696,CARS COM INC,0
01M9,SEACOR MARINE,16737,SEACOR MARINE HOLDINGS INC,0
01MD,AMERICAS GOLD,16545,AMERICAS SILVER CORP,5
01MI,APPIAN,16698,APPIAN CORP,0
01MJ,PENGUIN SOLNS,16710,SMART GLOBAL HOLDINGS INC,1
01NA,SOUNDTHINKING,16805,SHOTSPOTTER INC,1
01NX,BLUE APRON HLDG,16755,BLUE APRON HOLDINGS INC,0
01O6,SAFEHOLD,16770,SAFEHOLD INC,0
01OH,REIN THERAPEUTIC,16776,AILERON THERAPEUTICS INC,1
01PI,ESQUIRE FINCL,16784,ESQUIRE FINANCIAL HOLDINGS,0
01Q3,CIBUS,16818,CIBUS INC,0
01QJ,RBB,16828,R B B BANCORP,1
01RT,GREAT ELM CPTL,16403,GREAT ELM CAPITAL CORP,0
01S6,RELIANT BANCORP,15505,RELIANT BANCORP INC,0
01SC,MYOMO,16765,MYOMO INC,0
01ST,BEST,16940,BEST INC,0
01T2,ROSEHILL RSRCS,15970,ROSEHILL RESOURCES INC,0
01T5,SECOO HLDG,16933,SECOO HOLDING LTD,0
01T6,CELCUITY,16923,CELCUITY INC,0
01TA,MONGODB,16968,MONGODB INC,0
01TD,NIGHTSTAR,16930,NIGHTSTAR THERAPEUTICS PLC,0
01TF,KRYSTAL BIOTECH,16928,KRYSTAL BIOTECH INC,0
01TT,ORTHOPEDIATRICS,16989,ORTHOPEDIATRICS CORP,0
01TV,CARGURUS,16967,CARGURUS INC,0
01TW,OPTINOSE,16992,OPTINOSE INC,2
01UC,SEA,17023,SEA LTD,0
01UZ,NATIONAL VISION,16971,NATIONAL VISION HOLDINGS INC,0
01VE,NEXTDECADE,15293,NEXTDECADE CORP,0
01VQ,ALTAIR ENG,17034,ALTAIR ENGINEERING INC,0
01VT,ACM RSRCH,17045,A C M RESEARCH INC,1
01W2,INFLARX,17115,INFLARX N V,0
01W3,APELLIS,17104,APELLIS PHARMACEUTICALS INC,0
01W4,FGL HLDG,16163,F G L HOLDINGS,1
01W7,MERIDIAN PENN,17117,MERIDIAN BANK,0
01W8,CORPORATE CAP TR,17050,CORPORATE CAPITAL TRUST INC,0
01WG,SAILPOINT,17037,SAILPOINT TECHNOLOGIES HLDGS INC,0
01X0,MUSTANG BIO,16903,MUSTANG BIO INC,0
01X8,AKSO HEALTH,17113,XIAOBAI MAIMAI INC,1
01XB,DENALI,17125,DENALI THERAPEUTICS INC,0
01XD,QUANTERIX,17155,QUANTERIX CORP,0
01XF,LUTHER BURBANK,17148,LUTHER BURBANK CORP,0
01XJ,NUTRIEN,75844,NUTRIEN LTD,0
01XP,CASA SYSTEMS,17135,CASA SYSTEMS INC,0
01Y5,SIERRA METALS,16844,SIERRA METALS INC,0
01YF,WILLSCOT HOLDING,15782,WILLSCOT MOBILE MINI HLDGS CORP,1
01Z4,LIBERTY ENERGY,17221,LIBERTY OILFIELD SERVICES INC,1
01Z7,AMBER INTL HLDG,17146,ICLICK INTERACTIVE ASIA GRP LTD,1
01ZA,NINE ENERGY,17251,NINE ENERGY SERVICES INC,0
01ZB,ADT,17223,A D T INC,1
01ZK,PLAYAGS,17252,PLAYAGS INC,0
01ZN,ADICET BIO,17272,ADICET BIO INC,0
01ZY,IPIC,17322,IPIC ENTERTAINMENT INC,0
0200,CACTUS,17281,CACTUS INC,0
0201,VICTORY CAP HLDG,17332,VICTORY CAPITAL HOLDINGS INC,0
0208,ALTA MESA,16677,ALTA MESA RESOURCES INC,0
020E,TORM,17157,T O R M PLC,1
020K,SPOTIFY TECH,17782,SPOTIFY TECHNOLOGY S A,0
020U,BRIGHTSPIRE CAP,17287,BRIGHTSPIRE CAPITAL INC,0
0226,SUNLANDS TECH,17380,SUNLANDS TECHNOLOGY GROUP,0
0228,IQIYI,17362,IQIYI INC,0
022C,META DATA,17379,META DATA LTD,2
022J,ESTRE AMBIENTAL,17127,ESTRE AMBIENTAL INC,0
022K,COLUMBIA FINCL,17683,COLUMBIA FINANCIAL INC,0
022T,PIVOTAL SOFTWARE,17673,PIVOTAL SOFTWARE INC,0
022U,LEVEL ONE BAN,17692,LEVEL ONE BANCORP INC,0
022V,CPSA,17286,CENTRAL PUERTO S A,1
0234,GRAFTECH,17672,GRAFTECH INTERNATIONAL LTD NEW,0
0237,NLIGHT,17691,NLIGHT INC,0
023A,DOCUSIGN,17685,DOCUSIGN INC,0
023B,SPARK NET,17100,SPARK NETWORKS S E,0
023R,CPI.,17801,CONSTRUCTION PARTNERS INC,1
023S,INSPIRE MEDICAL,17799,INSPIRE MEDICAL SYSTEMS INC,0
023T,PERMROCK ROYALTY,17836,PERMROCK ROYALTY TRUST,0
023V,BIGLARI HLDG,26607,BIGLARI HOLDINGS INC,0
0249,WYNDHAM HOTELS,17794,WYNDHAM HOTELS & RESORTS INC,0
024B,PERSPECTA,17792,PERSPECTA INC,0
024S,PLURALSIGHT,17788,PLURALSIGHT INC,0
025V,GRINDROD,17884,GRINDROD SHIPPING HOLDINGS LTD,0
0260,BJ'S WHLSL,17864,B J S WHOLESALE CLUB HLDGS INC,1
0268,PUXIN,17939,PUXIN LTD,0
026D,TECTONIC,17871,TECTONIC THERAPEUTIC INC,0
026I,ASEH,88659,A S E INDUSTRIAL HLDG CO LTD,1
026P,RVI,17860,RETAIL VALUE INC,1
026U,EVERQUOTE,17880,EVERQUOTE INC,0
026V,TRANSLATE BIO,17899,TRANSLATE BIO INC,0
026W,NEURONETICS,17898,NEURONETICS INC,0
0273,COCRYSTAL PHARMA,17351,COCRYSTAL PHARMA INC,0
027P,CONSTELLATION,17958,CONSTELLATION PHARMA INC,0
027T,BLOOM ENERGY,17949,BLOOM ENERGY CORP,0
027U,FOCUS FINANCIAL,17950,FOCUS FINANCIAL PARTNERS INC,0
027V,BERRY PETROLEUM,17956,BERRY PETROLEUM CORP,0
027W,FRST CHOICE,17798,FIRST CHOICE BANCORP,0
027Y,CANGO,17980,CANGO INC,0
027Z,AURORA MOBILE,17967,AURORA MOBILE LTD,0
0283,FURY GOLD MINES,16836,FURY GOLD MINES LTD,0
0288,SONOS,18011,SONOS INC,0
028A,ARLO,18013,ARLO TECHNOLOGIES INC,0
028C,ESSA PHARMA,15508,ESSA PHARMA INC,0
028K,ELYS BMG GROUP,19143,ELYS GAME TECHNOLOGY CORP,1
029J,NIO,18087,N I O INC,1
029Z,BIONANO GENOMICS,18102,BIONANO GENOMICS INC,0
02A0,ELANCO ANIMAL,18062,ELANCO ANIMAL HEALTH INC,0
02A1,SITIO ROYALTIES,16905,SITIO ROYALTIES CORP NEW,0
02AA,CRONOS GROUP,17316,CRONOS GROUP INC,0
02AC,EVENTBRITE,18063,EVENTBRITE INC,0
02AK,LAIX,18085,LAIX INC,0
02AL,SUTRO,18128,SUTRO BIOPHARMA INC,0
02AM,ALKALINE WATER,18325,ALKALINE WATER CO INC,0
02AO,ARCO PLATFORM,18099,ARCO PLATFORM LTD,0
02AP,GRITSTONE BIO,18116,GRITSTONE ONCOLOGY INC,0
02AQ,CAPITAL BANC,18108,CAPITAL BANCORP INC,0
02AV,GUARDANT HEALTH,18135,GUARDANT HEALTH INC,0
02B4,ALLOGENE,18137,ALLOGENE THERAPEUTICS INC,0
02B6,ANAPLAN,18141,ANAPLAN INC,0
02B7,EQUILLIUM,18195,EQUILLIUM INC,0
02BO,SOLARWINDS,18183,SOLARWINDS CORP,0
02BP,LOGICBIO,18205,LOGICBIO THERAPEUTICS INC,0
02BS,STUDIO CITY INTL,18185,STUDIO CITY INTL HOLDINGS,0
02C9,TWIST BIOSCIENCE,18214,TWIST BIOSCIENCE CORP,0
02CB,ARCOSA,18144,ARCOSA INC,0
02CE,SIRIUS INTL,18260,SIRIUS INTL INSURANCE GROUP LTD,0
02DO,SYNTHORX,18321,SYNTHORX INC,0
02DY,AMERANT,18049,AMERANT BANCORP INC,0
02E2,PROVENTION,17973,PROVENTION BIO INC,0
02EH,TOKEN CAT,18261,TUANCHE LTD,1
02EJ,NAVIOS MARITIME,18313,NAVIOS MARITIME CONTAINERS L P,0
02EO,WRAP TECH,18322,WRAP TECHNOLOGIES INC,0
02ET,WEIDAI,18326,WEIDAI LTD,0
02F6,AURORA CANNABIS,18151,AURORA CANNABIS INC,0
02FB,PULSE BIOSCIENCE,16066,PULSE BIOSCIENCES INC,0
02FM,HARPOON,18401,HARPOON THERAPEUTICS INC,0
02FW,ELECTRAMECCANICA,18056,ELECTRAMECCANICA VEHICLES CORP,0
02GC,APTORUM GROUP,18303,APTORUM GROUP LTD,0
02GQ,UP FINTECH HLDG,18467,U P FINTECH HOLDING LTD,0
02GR,PINTEREST,18485,PINTEREST INC,0
02GS,CARTER BANKSHARE,18459,CARTER BANKSHARES INC,0
02H0,TRADEWEB MARKETS,18480,TRADEWEB MARKETS INC,0
02H2,WATFORD HOLDINGS,18460,WATFORD HOLDINGS LTD,0
02H5,DIAMOND S,18426,DIAMOND S SHIPPING INC,0
02H6,BALLY'S,18425,BALLYS CORP,0
02H6,BALLY'S,25819,BALLYS CORP,2
02HC,LOOP INDS,17116,LOOP INDUSTRIES INC,0
02HD,SILK ROAD MED,18566,SILK ROAD MEDICAL INC,0
02HN,PAGERDUTY,18482,PAGERDUTY INC,0
