TICKER,CNAME,PERMNO,IssuerNm,SCORE
CNST,COH & STEERS,90303,COHEN & STEERS INC,0
CNSW,CONTINUUS SFTWRE,87059,CONTINUUS SOFTWARE CORP,0
CNT,CENTEL CORP,47052,CENTEL CORP,0
CNT1,CANTAB PHARM.,77756,CANTAB PHARMACEUTICALS,0
CNTA,CENTESSA PHARMS,21278,CENTESSA PHARMACEUTICALS PLC,0
CNTB,CONN NATL BANK,26447,CONNECTICUT NATIONAL BK BRDGPORT,1
CNTE,CENTENE,89269,CENTENE CORP DEL,0
CNTF,CHINA TECHFAITH,90704,CHINA TECHFAITH WIRLSS COMM TECH,0
CNTG,CENTOGENE,19067,CENTOGENE N V,0
CNTL,CANTEL MEDICAL,22825,CANTEL INDUSTRIES INC,1
CNTO,CENTOCOR,22016,CENTOCOR INC,0
CNTP,CHINA NUTRIFRUIT,92991,CHINA NUTRIFRUIT GROUP LTD,0
CNTV,CENTIV INC,85583,CENTIV INC,0
CNTX,CENTEX TELEMGMNT,11706,CENTEX TELEMANAGEMENT INC,0
CNTY,CENTURY CASINOS,79791,CENTURY CASINOS INC,0
CNU,CONTINUCARE CORP,82231,CONTINUCARE CORP,0
CNUO,ASCENDIA BRANDS,90159,ASCENDIA BRANDS INC,0
CNV,CITY INVESTING,15923,CITY INVESTING CO,0
CNVC,CVF TECHNOLOGIES,85760,C V F CORP,1
CNVE,CENOVUS ENERGY,93094,CENOVUS ENERGY INC,0
CNVO,CONVIO INC,93349,CONVIO INC,0
CNVP,CENVILL PPTYS IN,22366,CENVILL PROPERTIES INC,0
CNVX,CONVEX COMPUTER,10765,CONVEX COMPUTER CORP,0
CNVY,CONVEY HLTH SOLN,21373,CONVEY HOLDING PARENT INC,1
CNVZ,MICROMET INC,89863,MICROMET INC,0
CNW,CHICAGO & NW CP,77476,CHICAGO & NORTH WESTERN HLDGS CP,1
CNWC,CNW CP,63108,C N W CORP,1
CNWK,CNET NETWORKS,83744,C N E T NETWORKS INC,0
CNX,CNX RESOURCES,86799,C N X RESOURCES CORP,0
CNXC,CONSOL COAL US,15550,CONSOL COAL RESOURCES LP,0
CNXR,CONNECTURE,15126,CONNECTURE INC,0
CNXS,"CNS, INC.",11411,C N S INC,1
CNXT,CONEXANT SYSTEMS,86496,CONEXANT SYSTEMS INC,0
CNY,CONTL INFO SYS,67192,CONTINENTAL INFORMATION SYS,1
CNY,CONTL INFO SYS,81605,CONTINENTAL INFO SYS CORP NEW,1
CNY1,CARVER BANCORP,80960,CARVER BANCORP INC,0
CNYF,CNY FINANCIAL,86385,C N Y FINANCIAL CORP,0
CO,CHESSIE SYSTEM,11156,CHESSIE SYSTEM INC,0
CO1,CORRPRO CO,79670,CORRPRO COS INC,0
CO5M,COMMERCIAL NATL,83641,COMMERCIAL NATIONAL FINL CORP,0
CO5N,COMMUNITY FINANC,75773,COMMUNITY FINANCIAL CORP,0
CO5S,COMPUTERIZED THE,88849,COMPUTERIZED THERMAL IMAGING INC,2
CO5U,COMTEX NEWS NETW,26287,COMTEX SCIENTIFIC CORP,3
CO62,CONSULIER ENGINE,75764,CONSULIER ENGINEERING INC,0
CO65,CONVERSION TECHN,83493,CONVERSION TECHNOLOGIES INTL INC,2
CO67,SMARTFINANCIAL,15906,SMARTFINANCIAL INC,2
COA,COACHMEN INDS,56741,COACHMEN INDUSTRIES INC,0
COAL,BURLINGTON COAL,86104,BURLINGTON RESOURCES INC C S G R,1
COAS,COAST SVGS FINL,86714,COAST SAVINGS FINANCIAL INC,0
COAT,COATS VIYELLA,67176,BURLINGTON COAT FACTORY WRHS COR,6
COB,JUNIPER PHARMS,12149,JUNIPER PHARMACEUTICALS INC,0
COBA,COMMERCE BANCORP,86845,COMMERCE BANCORP INC NJ,0
COBE,COBE LABS INC,24302,COBE LABS INC,0
COBH,METRO BANCORP,80808,METRO BANCORP INC,0
COBI,COBANCORP INC,79479,COBANCORP INC,0
COBK,WALDEN BANCORP,86706,WALDEN BANCORP INC,0
COBT,COBALT NETWORKS,87380,COBALT NETWORKS INC,0
COBZ,COBIZ FINCL,86157,COBIZ FINANCIAL INC,0
COCN,COCENSYS INC,78817,COCENSYS INC,0
COCO,CORINTHIAN DE,86715,CORINTHIAN COLLEGES INC,0
COD,CHILES OFFSHORE,88588,CHILES OFFSHORE INC,0
CODE,CODED COMMUNICAT,79955,CODED COMMUNICATIONS CORP,0
CODI,COMPASS DIVER,91271,COMPASS DIVERSIFIED TRUST,0
CODL,CODE-ALARM INC,11773,CODE ALARM INC,0
CODN,CODENOLL TECH,24417,CODENOLL TECHNOLOGY CORP,0
CODX,CO-DIAGNOSTICS,16820,C O DIAGNOSTICS INC,0
COE,CONE MLS CORP,24707,CONE MILLS CORP,0
COE2,CONE MILLS CP NC,77688,CONE MILLS CORP NC,0
COEP,COEPTIS,20281,COEPTIS THERAPEUTICS HOLDINGS IN,2
COES,COMMODORE ENVIRO,25241,COMMODORE ENVIRONMENTAL SVCS INC,0
COET,COLUMBIA EQUITY,90749,COLUMBIA EQUITY TRUST INC,0
COF,CAPITAL ONE FIN,81055,CAPITAL ONE FINANCIAL CORP,0
COF1,AGRIUM INC,81598,AGRIUM INC,0
COFD,COLLCTIVE BANCOR,24540,COLLECTIVE FEDERAL S & L ASSN,1
COFI,CHARTER 1 FIN OH,10725,CHARTER ONE FINANCIAL INC,1
COFS,CHOICEONE FINL,19231,CHOICEONE FINANCIAL SERVICES INC,0
COG1,COTERRA ENERGY,76082,CABOT OIL & GAS CORP,1
COGC,CENTURY OIL &GAS,22307,CENTURY OIL & GAS CORP DE,0
COGI,CONS GRAPHICS,80621,CONSOLIDATED GRAPHICS INC,1
COGR,COLONIAL GROUP,86757,COLONIAL GROUP INC,0
COGT,COGENT,90356,COGENT INC,0
COH,COHU,30648,COHU ELECTRONICS INC,0
COH2,TAPESTRY,88661,TAPESTRY INC,0
COHB,COHOES BANCORP,86568,COHOES BANCORP INC,0
COHO,COHO ENERGY INC,76232,COHO ENERGY INC,0
COHR,COHERENT,24476,COHERENT RADIATION,0
COHY,CONS HYDRO INC,10118,CONSOLIDATED HYDRO INC,0
COI,COGENT COMNS,89297,COGENT COMMUNICATIONS GROUP INC,0
COIN,FINJAN HOLDINGS,91893,FINJAN HOLDINGS INC,0
COKB,COLONIAL FINANCI,90722,COLONIAL FINANCIAL SERVICES INC,0
COKE,COCA-COLA CONSOL,11995,COCA COLA BOTTLING CO CONS,1
COKR,COOKER RESTAURAN,75604,COOKER RESTAURANT CORP,0
COL,COLUMBUS RLTY TR,80077,COLUMBUS REALTY TRUST,0
COL1,COLUMBIA SPTSWR,85863,COLUMBIA SPORTSWEAR CO,0
COLB,COLUMBIA BKNG,77679,COLUMBIA BANKING SYSTEM INC,0
COLC,COLO NATL BCSH,24767,COLORADO NATIONAL BANKSHARES INC,1
COLD,AMERICOLD RLTY,17226,AMERICOLD REALTY TRUST,0
COLE,COLE REAL ESTATE,13982,COLE REAL ESTATE INVESTMENTS INC,0
COLK,COLOR KINETICS I,90222,COLOR KINETICS INC,0
COLL,COLLINS INDS,24572,COLLINS INDUSTRIES INC,0
COLM,COLUMBUS MILLS,24890,COLUMBUS MILLS INC,0
COLN,COLONY CAP INC,93018,COLONY FINANCIAL INC,0
COLS,ROCKWELL COLLINS,89014,ROCKWELL COLLINS INC,0
COLT,COLT TELECOM GRP,84297,COLT TELECOM GROUP PLC,0
COLV,GREEN BUILDERS,92030,GREEN BUILDERS INC,0
COLY,COLEY PHARM,90860,COLEY PHARMACEUTICAL GROUP INC,0
COM,CROWLEY MILNER,31026,CROWLEY MILNER & CO,0
COM1,CELLULAR COMM,10528,CELLULAR COMMUNICATIONS INC,0
COM1,CELLULAR COMM,88884,CELLULAR COMMUNICATIONS INC NEW,2
COMB,COLO NAT BANKSHR,24986,COMBINED INSURANCE CO AMER,1
COMD,COMMAND AIRWAYS,25102,COMMAND AIRWAYS INC,0
COMF,COMMUNITY BANCSH,90897,COMMUNITY BANCSHARES INC DE,2
COMG,FOX TECH INC,25100,FOX TECHNOLOGY INC,0
COMM,COMM INDS INC,25401,COMMUNICATIONS INDUSTRIES INC,1
COMR,COMAIR HLDGS INC,24935,COMAIR INC,1
COMS,3COM CP,76129,3COM CORP,0
COMT,MAKEMUSIC INC,81691,MAKEMUSIC INC,0
COMU,COMMERCE UNION,25145,COMMERCE UNION CORP,0
COMV,COMVERGE INC,91957,COMVERGE INC,0
COMX,COMTREX SYSTEMS,86941,COMTREX SYSTEMS CORP NEW,0
CON,CONCENTRA GRP HL,25245,CONCENTRA GRP HLDGS PARENT INC,0
CON1,CONTL WASTE IND,80116,CONTINENTAL WASTE INDUSTRIES INC,1
COND,CONDOR SERVICES,75485,CONDOR SERVICES INC,0
CONE,CARRIER1,87593,CARRIER1 INTERNATIONAL S A,0
CONH,CONTL HOMES HLDG,11124,CONTINENTAL HOMES HOLDING CORP,1
CONN,CONNS,89908,CONNS INC,0
CONO,CONOCO INC CL A,86368,CONOCO INC,0
CONO,CONOCO INC,87029,CONOCO INC,0
CONR,CONOR MEDSYSTEMS,90477,CONOR MEDSYSTEMS INC,0
CONS,CONSERVATIVE SAV,86984,CONSERVATIVE SAVINGS CORP,0
CONT,CONTL MED SYS,10827,CONTINENTAL MEDICAL SYSTEMS INC,1
CONV,CONVERGENT COMM.,87104,CONVERGENT COMMUNICATIONS INC,0
CONW,CONSUMERS WTR CO,26711,CONSUMERS WATER CO,0
CONZ,CYRSONE,13752,CYRUSONE INC,0
COO,COOPER LABS,52388,COOPER LABS INC,0
COOK,TRAEGER,21684,TRAEGER INC,0
COOL,CYBERIAN OUTPOST,86256,CYBERIAN OUTPOST INC,0
COOP,COOPERATIVE BANK,76904,COOPERATIVE BANCSHARES INC,0
COP,COPLEY PPTYS INC,67854,COPLEY PROPERTY INC,0
COPI,CRESCENT INC.,85364,CRESCENT OPERATING INC,1
COPY,ANIXA BIOSCIENCE,27167,ANIXA BIOSCIENCES INC,0
